Brand,Store_Count,City_Cover,Average_Price
渣柠·手打柠檬茶,32,13,
松阪屋,32,3,
丸摩堂鲜果茶,31,5,16
乳果说茶饮,31,5,14
甜荟茶饮,31,4,15
YinLeCui,31,12,17
注春,30,25,16
一万粒·华农酸奶,30,1,9
孖囍鲜果茶,30,3,9
厝内小眷村,30,14,16
阿茶手打柠檬茶,30,4,12
优茶手作,30,1,15
茶南子·青年茶馆,30,11,12
嘿糖,29,20,14
禧春茶社,29,22,13
迷客夏Milksha·牧场饮品,29,20,19
一叶觅山,29,7,17
八十秒鲜果茶,29,6,
口口椰,28,21,13
雪兰鲜奶屋,28,13,13
澜熊酸奶·DIY水果捞,28,19,16
柠檬果子,28,3,12
韵茶,28,24,10
小城里饮品,28,9,9
TPLUS茶家,28,7,17
品燕斋·姨妈热饮·鲜炖燕窝,28,9,60
汇小喜东莞发财,28,1,14
爆暴柠·暴打柠檬茶,28,9,15
果雨吧鲜萃果汁,28,13,23
冰火小站,28,5,21
邮氧的茶,27,17,12
梨园梅派·现熬酸梅汤,27,7,14
锡城新葡京,27,2,14
同庆堂凉茶,27,1,21
唐饮,27,25,12
晓肆制茶,27,10,10
珑叶茶饮,27,6,
布兰熊花香茶饮,26,26,10
柠小星,26,12,13
找茶,26,22,15
岭上白云,26,7,11
宜北町,26,6,22
茶大椰·椰子茶,26,11,18
珍点,26,3,11
狸小野,26,4,
双美豆沙牛乳,25,15,10
禧尚茶梢轻乳茶·鲜果茶,25,24,9
茶香爱意,25,22,15
公社生产队奶茶铺,25,2,13
俏牛儿鲜奶,25,1,14
问岚珍奶,25,7,9
都是柠,25,6,17
苏咑柠,25,3,14
珠圆圆·老红糖珍珠奶茶,25,3,10
利芙德鲜奶,25,2,13
浒阳记绿豆汤,25,3,12
莓日肆季糖水,24,17,7
汤城新语,24,17,11
撸加点,24,3,16
柠客·手打柠檬茶,24,4,22
招牌柠檬茶,24,3,13
何所有·玉米说,24,11,14
柠濛濛·手打柠檬茶,23,5,17
小气茶,23,18,12
察鲜生·面包鲜奶茶,23,6,15
鲜之醇·鲜果茶·咖啡,23,4,16
倍尔康鲜奶吧,23,1,19
哈皮熊精酿鲜啤,23,10,26
萃知己,23,7,16
甜甜撞茶,23,4,7
KUNCHA鲲茶·江西制茶,23,2,18
八分甘·油甘汁,23,6,13
享茶,23,14,
梨汁缘,22,14,16
炖物24章·顺时轻养茶,22,9,19
水厰,22,3,28
橘町摇摇,22,20,12
素匠泰茶,22,12,18
叹茶靓点·粤式餐厅·全天茶市,22,8,15
甘茶师鲜果茶,22,1,11
铭茶,22,11,15
遇见水果茶,22,9,15
上上签HOZMA,22,3,19
陈学正酸梅汤,22,2,12
一杯潮茶·专注潮汕茶饮,22,3,18
友茶,22,14,
金贝鲜奶,22,2,
煮叶,21,4,42
开心丽果鲜榨果汁,21,14,20
茶托邦烤奶茶,21,9,10
遇见奶牛,21,16,15
柠柠家?鲜果绵绵冰,21,8,17
NO.岭茶印记,21,2,15
可可心愿茶,21,14,17
發事多,21,4,18
番薯王子鲜果茶,21,5,
拾叁茶,20,1,
易事多,20,1,12
男茶女茶·酸奶鲜果茶,20,8,13
驿茶,20,5,13
太清凉茶糖水,20,1,23
MJ水果鲜奶茶,20,3,16
黑泷太郎,20,13,15
牛茶·燕窝饮品,20,9,31
欢立杯,20,2,11
钟姐·港式手打柠檬茶,20,3,15
麦兜冰玉米工坊,20,7,10
得益巴氏鲜奶,20,7,
得闲,20,18,
玖玖热麦,20,6,
豆吉汤圆奶茶,19,8,13
山野泡泡·花果茶,19,8,14
苏麻茶姑,19,15,10
茶决决·山野江西茶,19,3,18
疯起点茶饮,19,2,15
寻喜,19,18,11
莓超疯,19,3,17
WHOSE BLUE·鲜果·咖啡,19,5,16
